май	май	N;NOM;SG
май	майлар	N;NOM;PL
май	майдың	N;GEN;SG
май	майлардың	N;GEN;PL
май	майға	N;DAT;SG
май	майларға	N;DAT;PL
май	майды	N;ACC;SG
май	майларды	N;ACC;PL
май	майда	N;LOC;SG
май	майларда	N;LOC;PL
май	майдан	N;ABL;SG
май	майлардан	N;ABL;PL
май	маймен	N;INST;SG
май	майлармен	N;INST;PL
май	майым	N;PSS1S;SG
май	майларым	N;PSS1S;PL
май	майымыз	N;PSS1P;SG
май	майларымыз	N;PSS1P;PL
май	майың	N;PSS2S;SG;LSSPEC1
май	майларың	N;PSS2S;PL;LSSPEC1
май	майыңыз	N;PSS2S;SG;LSSPEC2
май	майларыңыз	N;PSS2S;PL;LSSPEC2
май	майы	N;PSS3S;SG
май	майлары	N;PSS3S;PL
бор	бор	N;NOM;SG
бор	борлар	N;NOM;PL
бор	бордың	N;GEN;SG
бор	борлардың	N;GEN;PL
бор	борға	N;DAT;SG
бор	борларға	N;DAT;PL
бор	борды	N;ACC;SG
бор	борларды	N;ACC;PL
бор	борда	N;LOC;SG
бор	борларда	N;LOC;PL
бор	бордан	N;ABL;SG
бор	борлардан	N;ABL;PL
бор	бормен	N;INST;SG
бор	борлармен	N;INST;PL
калий	калий	N;NOM;SG
калий	калийдің	N;GEN;SG
калий	калийге	N;DAT;SG
калий	калийді	N;ACC;SG
калий	калийде	N;LOC;SG
калий	калийден	N;ABL;SG
калий	калиймен	N;INST;SG
от	от	N;NOM;SG
от	оттар	N;NOM;PL
от	оттың	N;GEN;SG
от	оттардың	N;GEN;PL
от	отқа	N;DAT;SG
от	оттарға	N;DAT;PL
от	отты	N;ACC;SG
от	оттарды	N;ACC;PL
от	отта	N;LOC;SG
от	оттарда	N;LOC;PL
от	оттан	N;ABL;SG
от	оттардан	N;ABL;PL
от	отпен	N;INST;SG
от	оттармен	N;INST;PL
от	отым	N;PSS1S;SG
от	оттарым	N;PSS1S;PL
от	отымыз	N;PSS1P;SG
от	оттарымыз	N;PSS1P;PL
от	отың	N;PSS2S;SG;LSSPEC1
от	оттарың	N;PSS2S;PL;LSSPEC1
от	отыңыз	N;PSS2S;SG;LSSPEC2
от	оттарыңыз	N;PSS2S;PL;LSSPEC2
от	оты	N;PSS3S;SG
от	оттары	N;PSS3S;PL
Қазақстан	Қазақстан	N;NOM;SG
Қазақстан	Қазақстанның	N;GEN;SG
Қазақстан	Қазақстанға	N;DAT;SG
Қазақстан	Қазақстанды	N;ACC;SG
Қазақстан	Қазақстанда	N;LOC;SG
Қазақстан	Қазақстаннан	N;ABL;SG
Қазақстан	Қазақстанмен	N;INST;SG
у	у	N;NOM;SG
у	улар	N;NOM;PL
у	удың	N;GEN;SG
у	улардың	N;GEN;PL
у	уға	N;DAT;SG
у	уларға	N;DAT;PL
у	уды	N;ACC;SG
у	уларды	N;ACC;PL
у	уда	N;LOC;SG
у	уларда	N;LOC;PL
у	удан	N;ABL;SG
у	улардан	N;ABL;PL
у	умен	N;INST;SG
у	улармен	N;INST;PL
у	уым	N;PSS1S;SG
у	уларым	N;PSS1S;PL
у	уымыз	N;PSS1P;SG
у	уларымыз	N;PSS1P;PL
у	уың	N;PSS2S;SG;LSSPEC1
у	уларың	N;PSS2S;PL;LSSPEC1
у	уыңыз	N;PSS2S;SG;LSSPEC2
у	уларыңыз	N;PSS2S;PL;LSSPEC2
у	уы	N;PSS3S;SG
у	улары	N;PSS3S;PL
тот	тот	N;NOM;SG
тот	тоттың	N;GEN;SG
тот	тотқа	N;DAT;SG
тот	тотты	N;ACC;SG
тот	тотта	N;LOC;SG
тот	тоттан	N;ABL;SG
тот	тотпен	N;INST;SG
спорт	спорт	N;NOM;SG
спорт	спорттың	N;GEN;SG
спорт	спортқа	N;DAT;SG
спорт	спортты	N;ACC;SG
спорт	спортта	N;LOC;SG
спорт	спорттан	N;ABL;SG
спорт	спортпен	N;INST;SG
президент	президент	N;NOM;SG
президент	президенттер	N;NOM;PL
президент	президенттің	N;GEN;SG
президент	президенттердің	N;GEN;PL
президент	президентке	N;DAT;SG
президент	президенттерге	N;DAT;PL
президент	президентті	N;ACC;SG
президент	президенттерді	N;ACC;PL
президент	президентте	N;LOC;SG
президент	президенттерде	N;LOC;PL
президент	президенттен	N;ABL;SG
президент	президенттерден	N;ABL;PL
президент	президентпен	N;INST;SG
президент	президенттермен	N;INST;PL
президент	президентім	N;PSS1S;SG
президент	президенттерім	N;PSS1S;PL
президент	президентіміз	N;PSS1P;SG
президент	президенттеріміз	N;PSS1P;PL
президент	президентің	N;PSS2S;SG;LSSPEC1
президент	президенттерің	N;PSS2S;PL;LSSPEC1
президент	президентіңіз	N;PSS2S;SG;LSSPEC2
президент	президенттеріңіз	N;PSS2S;PL;LSSPEC2
президент	президенті	N;PSS3S;SG
президент	президенттері	N;PSS3S;PL
парламент	парламент	N;NOM;SG
парламент	парламенттің	N;GEN;SG
парламент	парламентке	N;DAT;SG
парламент	парламентті	N;ACC;SG
парламент	парламентте	N;LOC;SG
парламент	парламенттен	N;ABL;SG
парламент	парламентпен	N;INST;SG
не	не	N;NOM;SG
не	ненің	N;GEN;SG
не	неге	N;DAT;SG
не	нені	N;ACC;SG
не	неде	N;LOC;SG
не	неден	N;ABL;SG
не	немен	N;INST;SG
ми	ми	N;NOM;SG
ми	милар	N;NOM;PL
ми	мидың	N;GEN;SG
ми	милардың	N;GEN;PL
ми	миға	N;DAT;SG
ми	миларға	N;DAT;PL
ми	миды	N;ACC;SG
ми	миларды	N;ACC;PL
ми	мида	N;LOC;SG
ми	миларда	N;LOC;PL
ми	мидан	N;ABL;SG
ми	милардан	N;ABL;PL
ми	мимен	N;INST;SG
ми	милармен	N;INST;PL
Варшава	Варшава	N;NOM;SG
Варшава	Варшаваның	N;GEN;SG
Варшава	Варшаваға	N;DAT;SG
Варшава	Варшаваны	N;ACC;SG
Варшава	Варшавада	N;LOC;SG
Варшава	Варшавадан	N;ABL;SG
Варшава	Варшавамен	N;INST;SG
ананас	ананас	N;NOM;SG
ананас	ананастар	N;NOM;PL
ананас	ананастың	N;GEN;SG
ананас	ананастардың	N;GEN;PL
ананас	ананасқа	N;DAT;SG
ананас	ананастарға	N;DAT;PL
ананас	ананасты	N;ACC;SG
ананас	ананастарды	N;ACC;PL
ананас	ананаста	N;LOC;SG
ананас	ананастарда	N;LOC;PL
ананас	ананастан	N;ABL;SG
ананас	ананастардан	N;ABL;PL
ананас	ананаспен	N;INST;SG
ананас	ананастармен	N;INST;PL
бал	бал	N;NOM;SG
бал	балдың	N;GEN;SG
бал	балға	N;DAT;SG
бал	балды	N;ACC;SG
бал	балда	N;LOC;SG
бал	балдан	N;ABL;SG
бал	балмен	N;INST;SG
банан	банан	N;NOM;SG
банан	банандар	N;NOM;PL
банан	бананның	N;GEN;SG
банан	банандардың	N;GEN;PL
банан	бананға	N;DAT;SG
банан	банандарға	N;DAT;PL
банан	бананды	N;ACC;SG
банан	банандарды	N;ACC;PL
банан	бананда	N;LOC;SG
банан	банандарда	N;LOC;PL
банан	бананнан	N;ABL;SG
банан	банандардан	N;ABL;PL
банан	бананмен	N;INST;SG
банан	банандармен	N;INST;PL
банан	бананым	N;PSS1S;SG
банан	банандарым	N;PSS1S;PL
